product,consumer advice,farmer advicce
乡意浓江西丰城大米,上市后 的大米储存周期一般为6-12个月 ，在潮湿的地区储存时间更短，且储存时间过长大米营养会逐渐流失，口感会变差，因此建议不要储存超过3个月。预测未来一周丰城富硒大米价格将会降低，因此对富硒大米有需求的消费者若不急于购买大米，可于一周后购买约1-3个月的量。,丰城富硒大米一般采用旱育秧或水田湿润育秧，在4月中下旬播种，9月下旬至10月上旬收获。 另外，若要使大米硒含量达到富硒大米国家标准（0.07毫克/千克—0.3毫克/千克），则土壤最好为硒含量大于0.4mg/kg富硒土壤。预测未来一年丰城富硒大米价格将会降低，由于大米种植期较长，因此建议适当减少种植面积，控制生产成本，并有效利用空余土地生产其他高价值作物 如荸荠、油茶等。
巢湖中垾番茄,中垾番茄是安徽省巢湖市特产，获批为地理标志产品证明商标保护名录。新鲜的番茄，一般情况下可以保存3～7天左右；放入冰箱中冷藏保存，可以保存10天左右。番茄属于耐储存的蔬菜之一，秋冬季节番茄可以放在常温下保存，夏季需要将番茄放入冰箱中冷藏保存。预测未来一周巢湖中垾番茄价格将会降低，因此对中垾番茄有需求的消费者若不急于购买番茄，可于一周后购买约3-7天的量。,预测未来一年巢湖中垾番茄价格将会降低，由于番茄作为日常食用蔬菜的一种，价格下降可能会导致需求上升，因此建议适当扩大种植面积，提高番茄产量，但要控制生产成本。
仙桃香米,湖北仙桃洪茂春春红米是湖北省仙桃市特产，具有“鲜、香、弹”特点。米粒纤细莹润颗粒饱满透亮，米饭清香四溢，回味悠长，粒粒清晰有嚼劲，软糯Q弹。栽种地日照雨水充足，土壤肥沃，气候地理位置俱佳，天然雨露，高山活水灌溉，细心的管理与呵护，逐渐演化出与众不同的味道和丰富的营养价值。上市后的大米储存周期一般为6-12个月，在潮湿的地区储存时间更短，且储存时间过长大米营养会逐渐流失，口感会变差，因此建议不要储存超过3个月。预测未来一周湖北仙桃洪茂春春红米将会降低，因此对湖北仙桃洪茂春春红米有需求的消费者若不急于购买大米，可于一周后购买约1-3个月的量。,湖北仙桃洪茂春春红米一般采用传统人工育苗、插秧等种植方式，一年一季慢生长，在5月份播种，9月下旬收获，约105天生长期，有利于大米营养物质的积累。另外，通过21道工序筛选严格品控，为了让客户食用到新鲜好米，洪茂春粮食从稻田到餐桌完整产业链，多道程序严苛把控，确保了每一粒大米的品质。预测未来一年湖北仙桃洪茂春春红米价格将会降低，由于大米种植期较长，因此建议适当减少种植面积，控制生产成本，并有效利用空余土地生产其他湖北仙桃特有的高价值作物例如湖北新鲜泥巴藕等。
万年贡蟹田丝苗米,江西万年贡蟹田丝苗米是江西省上饶的特产，具有“润，香，软”的特点，来自江南鱼米之乡——鄱阳湖淡水流域，丝苗米素有“中国米中之王”之称，其米粒洁白晶莹，油质丰富，成饭香气浓郁、柔软、可口而驰名岭南，饮誉海内外。上市后的大米储存周期一般为6-12个月，在潮湿的地区储存时间更短，且储存时间过长大米营养会逐渐流失，口感会变差，因此建议不要储存超过3个月。预测未来一周江西万年贡蟹田丝苗米将会降低，因此对江西万年贡蟹田丝苗米有需求的消费者若不急于购买大米，可于一周后购买约1-3个月的量。,江西万年贡蟹田丝苗米一般采用蟹稻混养的生态种植模式，既种稻，又养蟹，护稻肥田，良性循环，形成了蟹护水稻、蟹去除杂草虫饵、蟹粪肥田的自然食物链，整个生长过程无农药，无化肥，遵循自然，生态环保。在6月中下旬播种，11月上旬收获。另外，还需安装水质检测装置，随时监测水质，保证稻和蟹的生长环境。实现蟹稻共养，绿色发展。预测未来一年江西万年贡蟹田丝苗米价格将会降低，由于大米种植期较长，因此建议适当减少种植面积，控制生产成本，并有效利用稻田养殖虾蟹，从养殖业挽回损失。
千岁好有机山茶油,江西万年山茶油具有“质、专、纯、清”的特点，整个生长过程中不施农药、化肥等，是中国政府提倡推广的纯天然木本食用植物油，以及国际粮农组织首推的卫生保健植物食用油。宜储藏在阴凉干燥避光处，最佳温度10-25℃。由于山茶油有大量的抗氧化物，因此常温保质期可长达18-24个月，但为保证质量和新鲜度，尽量在3-6个月内用完。预测未来一周后万年山茶油价格将会降低，因此对山茶油有需求的消费者若不急于购买山茶油，可先用其他品种的油类代替，于一周后再选购万年山茶油，并购买500g左右，约1-3个月的量。,预测长期万年山茶油价格将会降低，由于油茶种植期非常长，且前三年几乎没有任何产出，因此建议适当减少种植面积，注重培育良种壮苗，合理优化土地。
巢湖稻虾米,安徽巢湖稻虾米是安徽省巢湖市特产，安徽巢湖稻虾米颗粒饱满，虾稻共生，自然雨水灌溉，味道自然清香，营养丰富。上市后的大米储存周期一般为6-12个月，在潮湿的地区储存时间更短，且储存时间过长大米营养会逐渐流失，口感会变差，因此建议不要储存超过3个月。预测未来一周安徽巢湖稻虾米将会降低，因此对安徽巢湖稻虾米有需求的消费者若不急于购买大米，可于一周后购买约1-3个月的量。,安徽巢湖稻虾米一般采用水田湿润育秧，通过稻虾共养，稻田里养虾，虾吃昆虫，粪便肥田，全程不施化肥、不打农药，有效改善了生态。在5月下旬至6月上旬播种，10月下旬收获。另外，还需安装水质检测装置，随时监测水质，保证稻和虾的生长环境。坚持生态优先、绿色发展，探索发展稻虾共养，实现一二三产业融合。预测未来一年安徽巢湖稻虾米价格将会降低，由于大米种植期较长，因此建议适当减少种植面积，控制生产成本，并有效利用稻虾田养殖虾蟹，从养殖业挽回损失。
江西新鲜脚板薯,江西丰城脚板薯具有“香甜粉糯、绿色健康”的特点，能供应大量人体粘液素，是多糖蛋白的混合物，对人体具有特殊保护效果，能避免心血管系统的脂肪堆积，保持动脉的弹性，避免过早的动脉粥样软化。脚扳薯宜储存在干燥通风处，上市后储存时间最多一个月，但为保证脚板薯的质量和新鲜度，尽量在一周内食用完。预测未来一周丰城脚板薯价格将会降低，因此对脚板薯有需求的消费者若不急于购买脚板薯，可于一周后再选购丰城脚板薯，并依据食用情况购买约一周的量。如有急需求的消费者本周可以选购其他山药类产品作为代替。,预测未来一年丰城脚板薯价格将会降低，由于脚板薯种植期较长，因此建议适当减少种植面积，控制生产成本，并有效利用空余土地生产其他高价值作物等。
奉新大米,奉新大米是江西省宜春市奉新县特产，全国农产品地理标志。奉新大米种植、生产历史悠久，早在《宋史》和《天工开物》中就有记载，作为江南优秀的稻米，从宋朝华林胡氏先祖国子监主簿胡仲尧进贡奉新大米开始，奉新大米就成为供皇帝食用的御用贡品，此后，奉新大米就一直因其特殊的种植技艺而成为历代皇朝的贡品。奉新大米外观呈清白色或精白色，具有光泽，米粒大小均匀，坚实丰满，米饭清香、微甜、冷后不回生。上市后的大米储存周期一般为6-12个月，在潮湿的地区储存时间更短，且储存时间过长大米营养会逐渐流失，口感会变差，因此建议不要储存超过3个月。预测未来一周奉新大米价格将会降低，因此对大米有需求的消费者若不急于购买大米，可于一周后选购奉新大米，并购买约1-3个月的量。,"奉新大米一般选用抗病、抗虫、抗倒伏、产量高或增产潜力大，且通过国家或省级农作物品种审定委员会审定的品种，禁止使用转基因品种。播种期视品种生育期确定，早稻一般在3月下旬播种，中稻一般在5月中下旬播种，晚稻安排在6月中下旬播种。稻田地势应相对平坦、肥力中等以上，排灌方便、旱涝保收、不易受水旱灾害，集中连片，且远离厂矿、公路、铁路。
预测未来一年奉新大米价格将会降低，由于大米种植期较长，因此建议适当减少种植面积，控制生产成本，并有效利用空余土地生产其他高价值作物，如奉新猕猴桃。"
江西奉新猕猴桃,奉新猕猴桃是全国农产品地理标志，果实中等大小（单果重80克—110克），食用口感佳，营养价值丰富。成熟的猕猴桃在室温下大概能够存放1-2周，在冰箱的冷冻层大概能存放3-6个月，若是将猕猴桃和西红柿、苹果、香蕉等存放在一起会使猕猴桃加速成熟。预测未来一周奉新猕猴桃价格将会降低，因此对猕猴桃有需求的消费者若不急于购买猕猴桃，可于一周后选购奉新猕猴桃。,预测未来一年奉新猕猴桃价格将会降低，猕猴桃作为日常食用水果之一，其需求会因为猕猴桃价格下降而上升。由于猕猴桃种植期较长，因此建议保持种植面积不发生太大变动，精心饲养已有果树及时授粉保证土壤湿润等，使其能够结更多的果实。
吉田井冈山1号香粘大米,井冈山大米是江西井冈山粮油集团有限公司旗下品牌吉田推出的大米产品，曾在央视新闻亮相，在线下有超过2000门店，畅销南方市场。吉田井冈山大米品种正宗，稻香纯正，且相比市面其他大米更为细长，适合做煲仔饭。上市后的大米储存周期一般为6-12个月，在潮湿的地区储存时间更短，且储存时间过长大米营养会逐渐流失，口感会变差，因此建议不要储存超过3个月。预测未来一周井冈山大米价格将会降低，因此对大米有需求的消费者若不急于购买大米，可于一周后选购奉新大米，并购买约1-3个月的量。,井冈山水稻栽培首先是选种品质优良的水稻品种，尽量选择具有较强适应性、抗病虫害能力的品种，确保水稻的高品质和高产量。播种时间宜在 3 月 6日至3月15 日进行，水稻出穗后 40 天具有最高的整米率，过早或过晚收割会降低整米率。为了使稻米的商品性得到保证，当超过 85% 的籽粒黄熟后第一时间收获。种植区应选择在土壤肥沃、向阳、背风的地方，每平方苗田施入 15-20 kg 腐熟农家肥或猪粪，使土地有充足的养分。预测未来一年井冈山大米价格将会降低，由于大米种植期较长，因此建议适当减少种植面积，控制生产成本，并有效利用空余土地生产其他高价值作物如井冈山红米。
江西井冈山蜜柚,井冈蜜柚有降血糖、减肥、美肤美容等功效。上市后的存储周期最长可达1个月，需置于10°以上阴凉通风处存储，潮湿空间会缩短存储周期。预测未来一周井冈蜜柚价格将会降低，因此对柚子有需求的消费者若不急于购买柚子，可于一周后购买。,预测未来一年江西井冈蜜柚价格将会降低，由于井冈蜜柚种植周期较长，从培育到投产需要4-5年时间，因此建议正常种植，并减少培育期树苗种植面积，控制生产成本，并有效利用空余土地生产其他高价值作物，或对成熟蜜柚进行建议加工，增产柚子酱等加工品。
上高富硒大米,上高富硒大米是江西省上高县富硒特色农产品之一，主要品牌为“绿万佳”，大米外形晶莹剔透，自然带香味。硒元素具有抗氧化、抗衰老、提高人体免疫力等作用。富硒大米中的硒元素主要以有机硒的形式存在，相比于无机硒吸收性更好，安全性更高。上市后的大米储存周期一般为6-12个月，在潮湿的地区储存时间更短，且储存时间过长大米营养会逐渐流失，口感会变差，因此建议不要储存超过3个月。预测未来一周上高富硒大米价格将会降低，因此对富硒大米有需求的消费者若不急于购买大米，可于一周后购买约1-3个月的量。,富硒大米在种植时选用高档优质、富硒能力强的常规水稻品种，采用叶面肥喷洒施硒。在选择种植地时应避开繁华的都市、工矿区和交通要道等，周围不得有污染源。适时收获是确保硒谷丰产、保证品质和提高大米整精米率的重要措施。水稻适宜的收获时期应根据稻谷成熟度来确定，一般在完熟初期收获。预测未来一年上高富硒大米价格将会降低，由于大米种植期较长，因此建议适当减少种植面积，控制生产成本，并有效利用空余土地生产其他高价值作物如富硒皇菊。
宜春上高富硒皇菊,,
永新红辣椒干,江西永新的红辣椒干是红辣椒经过自然晾晒、人工脱水等过程而形成的辣椒产品，主要是作为调味料食用。它的特点是含水量低、适合长期保藏，但未密封包装或含水量高的干辣椒容易霉变。江西永新地区的辣椒香味浓厚且辣度适中不易上火，在密封干燥的条件下可以存储1年半左右。预测未来一周江西永新红辣椒干价格将会降低，因此对辣椒干有需求的消费者若不急于购买辣椒干，可于一周后购买。,预测未来一年江西永新红辣椒干价格将会降低，由于原材料红辣椒种植周期较短，且晒干后的成品存储周期长，衍生加工品品类较多，因此建议正常生产，优化存储环境，增加加工品制作种类（如辣椒段、辣椒粉等）。
永新酱姜,"永新酱姜是江西省永新县的传统蜜饯，历史悠久，是""永新四珍“之一。酱姜表面有一层丰厚白霜，无姜丝，味甜辣，香醇郁，具有调理脾胃，镇吐祛痰，益气提神的功效。用以烹制鸡汤、鸭汤、排骨汤，味醇厚鲜美。既是食疗佳品，又是名贵茶点，风味独特，全国仅有。上市后的存储期一般为6个月，冷藏后可存储更长时间。预测未来一周永新酱姜价格将会降低，因此对酱姜有需求的消费者若不急于购买酱酱，可于一周后购买。",预测未来一年永新酱姜价格将会降低，由于酱姜制作周期较短且受天气影响大（需持续一周暴晒），因此建议减少制作规模，控制生产成本；另外也可用部分原材料制作其他高价姜类加工品，拓展组合类姜制品制作（如生姜干、姜茶等），降低酱姜单一品类价格变动的影响。
四川屏山炒青特级,屏山炒青绿茶是中国国家地理标志产品，产自屏山海拔800米以上富硒高山无污染土壤，富硒土壤和高山气候孕育出的屏山炒青内含咖啡碱、多酚类化合物等对人体有益元素。冲泡后茶香持久，汤色清澈明亮，滋味醇爽。产品保质期多长达540天，需低温防潮存储，冲泡时水温控制在80-85°风味最佳。预测未来一周四川屏山炒青绿茶价格将会降低，因此对绿茶有需求的消费者若不急于购买绿茶，可于一周后购买。,预测未来一年四川屏山炒青绿茶价格将会降低，由于屏山炒青绿茶种植和加工周期较长，因此建议减少种植面积，控制生产成本，并有效利用加工工艺延长茶叶存储时间；同时可以寻求绿茶加工厂的合作，增加收益渠道，避免囤积。
四川宜宾屏山茵红李,宜宾屏山的茵红李种植历史悠久，曾有哪吒染血去毒、拯救苍生的动人传说，种植遍及全县各地。如今的茵红李得名于多次选育后的优良新品种，因该新品种李子果实一半紫红一半黄绿，将其命名为“茵红李”。上市后的茵红李储存周期约为10天，冷藏口感更佳。预测未来一周四川宜宾屏山茵红李价格将会降低，因此对李子有需求的消费者若不急于购买李子，可于一周后购买约3-5斤。,预测未来一年四川宜宾屏山茵红李价格将会降低，由于茵红李种植周期较长，果树结果寿命较长，建议正常种植，但应注意控制生产成本，并根据存储周期增加果干等可长时间存储的加工品的制作比例。
